angry 生氣的
bad 壞的
beautiful 美麗的
blind 瞎的
bored 感到無聊的
boring 無聊的
busy 忙碌的
careful 小心的
cool 涼爽的
crazy 瘋狂的
cute 可愛的
energetic 活力充沛
excited 感到興奮的
exciting 令人興奮的
famous 有名的
fashionable 時髦的
fat 胖的
friendly 友善的
funny 好笑的
good 好的
handsome 英俊的
happy 快樂的
hard-working 勤勉的
heavy 重的
honest 誠實的
interested 感興趣的
kind 和善的
lazy 懶惰的
lonely 寂寞的
nice 好的
old 老的
polite 有禮貌的
poor 可憐的
popular 受歡迎的
pretty 漂亮的
proud 驕傲的
quiet 安靜的
rich 有錢的
sad 悲傷的
short 矮的
shy 害羞的
skillful 熟練的
smart 聰明的
stupid 笨的
successful 成功的
tall 高的
thin 瘦的
unhappy 不快樂的
wise 明智的
young 年輕的
cool 酷
poor 貧窮的
rich 豐富的
