Elementary school 國小
Junior high school 國中
Senior high school 高中
classroom 教室
playground 操場
library 圖書館
class 班級
blackboard 黑板
book 書
chalk 粉筆
dictionary 字典
letter 信
map 地圖
notebook 筆記本
eraser 橡皮擦
page 頁
paper 紙
pen 筆
pencil 鉛筆
picture 圖片
postcard 明信片
present 禮物
ruler 尺
workbook 作業本
art 美術
Chinese 中文
English 英文
History 歷史
language 語言
Math 數學
music 音樂
Physical Education 體育
classmate 同學
friend 朋友
teacher 老師
student 學生
answer 答案
ask 問
learn 學習
listen 聽
mark 做記號
pass 及格
practice 練習
prepare 準備
read 讀
repeat 重複
say 說
speak 說
spell 拼字
study 研讀
talk 說話
teach 教學
understand 了解
write 寫
draw 畫
example 例子
exercise 運動
grade 成績
homework 家庭作業
problem 問題
question 問題
story 故事
test 考試
lesson 課
leader 領導者
novel 小說
Physics 物理學
photo 照片
piano 鋼琴
professor 教授
program 節目
race 競賽
report 報告
rule 規則
school 學校
stationery 文具
seat 座位
sentence 句子
sport 運動
subject 學科
swim 游泳
uniform 制服
notebook 筆電
answer 回答
